Account,Total Pdex rewards,Initial Claimable rewards,Factor,DOT Contributed
5ECtukaQ6Sdq2CaRVqWWMGpxhZgJ5cVsYzexx8vz4XsUTX5x,20.54816,5.13704,0.000003185168,10
5FHUQ9v2k44v57XcFaj4ZWinzFGH8tZXwEsNi9DrU32VMdVM,24.657792,6.164448,0.000003822202,12
5GGeGyWFhKkqmCkfzdNY75T8xoNAUkZAHzpNQng4HTk8eqKH,16.58236512,4.14559128,0.000002570431,8.07
5EyH4u18mTfNvAzK7WQH1pDocTC3QGfpkBkQfjvk9gTjEW9v,320.551296,80.137824,0.00004968863,156
5HN9auKZP1nSU4RQPeJ95YmSHZ3akdHAWBDDohMpSUhST3NV,20.54816,5.13704,0.000003185168,10
5Ea5LCkurJfMUoANgDvf82apAv9sXdJd8gfg8mFnXCKSPx2i,10.27408,2.56852,0.000001592584,5
5C8JQmVgXMj7QyDTYeyMHZMuXBit3HLV9neiQVScroHUV635,410.9632,102.7408,0.000063703373,200
5CSEYmvmrgPChQ4gu886w7mUywdmJXNEtsarP1stMuLc4cfc,2054.816,513.704,0.000318516865,1000
5F1RNkF6JCGFBhx4DjgfKBLXKiNfLePeS9vTwxUTtDQcxv35,51.3704,12.8426,0.000007962921,25
5FgtPTMwtkGcz6VtzZzgtuVzwXomZbYaZ9dh37hvFdup3MhA,129.453408,32.363352,0.000020066562,63
5HdptDupxnQdNUt3Uk7PVNkyurT85puQ5QX56Jo6ZSaXHCAB,1027.408,256.852,0.000159258432,500
5HSqXxQwiGpLrDGRNkGgy6CSKKycAF1a3rhobdvkv85aQkDN,49.315584,12.328896,0.000007644404,24
5FxfKxsRJ5QzyDfxq2cqkSbQx3fNJXPVkgWB3eRZb5RXyo9d,20.54816,5.13704,0.000003185168,10
5Fgi7VYmZHNZkfvp4E8W6PjqxzHCUV6Dv15k56h2VjKe4yxS,32.877056,8.219264,0.000005096269,16
5CdTLjPTN9GrekWPdxzYFoNJcPBNah3JG5tyrWx4iYJYAc3b,2054.816,513.704,0.000318516865,1000
5D2bCnwj7Cy1JbcssBHacvqq1L6dq3fvwm4ScXZsV7afkZKW,10.27408,2.56852,0.000001592584,5
5GVxuoDvkYfgoeZHMYavRJwv1e1jEVKUztn2azv1jmMwX4tW,41.09632,10.27408,0.000006370337,20
5EePeyTdqFMp9YyDJhPvaKR37nRZjtVWy8zQLo3cGqT18SPf,20.54816,5.13704,0.000003185168,10
5DHYpJEEhC2EZ7qfeXpUa6yU1SU1N6nLJLUHSYsoVeMqe49m,51.3704,12.8426,0.000007962921,25
5CkpqR9o6LGdMi9iqa2ypjoYUEW6joA3ZX6nB45sk4wD628H,10.27408,2.56852,0.000001592584,5
5CvzbWBK5NDpqCxa9TwtgHSJiKMNtJe21d8wVKTXvnMzL4kZ,10.27408,2.56852,0.000001592584,5
5ELnKqQuSCFG6cHDWwzCsgna82DzdS1r7qShbwjkWhP26bWL,246.57792,61.64448,0.000038222023,120
5Cvjr4dTwTqREuku8fWC4FmwLuqqyc2RxAkx1wuAnWsRcqHk,30.82224,7.70556,0.000004777752,15
5DhJXU77dqFbC1hrtCYfcoaUjP472bVyvATMrFoUWaeFKae4,22.602976,5.650744,0.000003503685,11
5HeAPJnym7yiipGBNCwXBowKakbY8WRmfZ95qi8Wa6i1qzcs,1407.54896,351.88724,0.000218184052,685
5HR7KioYeXpdADcar14UyHh8nY6oyQm5sQSs7mRKxnV86zrL,10.4795616,2.6198904,0.000001624436,5.1
5F6YdirhCTskZWqXwFytQxmatphukjRYjinPgmDTNQf28eSP,425.346912,106.336728,0.000065932991,207
5CooZ3hN6nXnVh98yG5aEYk2Xuh4iowtYYzYm7yR3X8GB3o5,102.7408,25.6852,0.000015925843,50
5Ccc7QW94bhdPXudAXFm466EtjTPej3jbYWKXphdDg2JzzEn,20.54816,5.13704,0.000003185168,10
5Esi8VDg8rCQjiVdMbya5G9ssB3icv2uGdZu2ZGHoHVLKiMK,51.3704,12.8426,0.000007962921,25
5H1MH9S78PXHEcjYGppvdRwRzMGTV6TaN2jmtJFdkPxQJ65t,18.493344,4.623336,0.000002866651,9
5FENDcqV9oxyfXDwxrtyvw67Xv4jtUhfQkviXyWVAVCcTGd1,205.4816,51.3704,0.000031851686,100
5DAMrV1e1WzTyuRg2n18eg2ckHtTJvs7rqnmf8t9xgjEVo1z,24.657792,6.164448,0.000003822202,12
5ERyyRxb1mZ9XMouXAtPGSgMkZTptMu8mLuS1yHVN5Vh9CJ8,14.383712,3.595928,0.000002229618,7
5EHwQ1UJJ3rfZfmNSe8Rnv8RQsiUyJqRhfRD4BYyfm5b4LZ5,10.27408,2.56852,0.000001592584,5
5HWC5LUTLrwXE4Wnh7nRGKf6cLyjAQoZ8bVkZAJW8y9ogJx3,82.19264,20.54816,0.000012740674,40
5HQJ21tybKW69AfJ1gvUZMcoMnfo8k9ueFuK7tpmDCciLrba,16.62346144,4.15586536,0.000002576801,8.09
5GTuWiDj34XdW61GMB2gkcTTVZ6ZzexGxUQznsa9aLy2KiVy,12.328896,3.082224,0.000001911101,6
5FYkdS73yq5ZCWnJnSQy1ozNo5tYq3qT7QwZmtU539bXDBYj,135.617856,33.904464,0.000021022113,66
5HgRqc9JCxm8DvZ9njbpKPo4A7FfMV7E2X8BxrMSSEg3B2RJ,18.493344,4.623336,0.000002866651,9
5HQ9U88AFp7iGVG1XomRczq6tw3xQb94HpH86bcx3V57jNJA,12.328896,3.082224,0.000001911101,6
5Di6qg3CsqXkNLUmdGtbe8FsHxfgyzgdjnPMcCzSZdeftSWj,123.28896,30.82224,0.000019111011,60
5GZNNv2yo9esoDmsRcRA2ugRQsiaYckqXSHi1jSWLNd8Dpp2,61.64448,15.41112,0.000009555505,30
5EUQZ92VQfSBkanavtCUpGpJjPJtzZLt3gGj5iTvPYhxteo1,30842.788160000004,7710.697040000001,0.004780938144,15010
5EbgawgBxkn647Wyg88yigc1eYfHFZBAhfNcGSrEcqnR25HL,30.82224,7.70556,0.000004777752,15
5EcUpXVPJ83pYJVJVvQN5zwwBasoVukPxty2khng8E5Xzvvx,20.54816,5.13704,0.000003185168,10
5EZDrZpnUEqzQWUj4CYFhrDvL39QFQ5yo8bJWSQpJJ2aAEdj,10.27408,2.56852,0.000001592584,5
5EWLSJnNBF4yA8gfi5KhzXMS9yKtGAtQu9mXDvoJE8jGT7KY,12.328896,3.082224,0.000001911101,6
5FP7EX5BF7sJfDScEdRzgXCigcDokCBGXwKHx4W7ViPyWJtz,20.54816,5.13704,0.000003185168,10
5EU473E8hbtzexT4mdgy6nR8mPVapb6VNSzAq4uFcG86zoVs,10.27408,2.56852,0.000001592584,5
5CHpvQbTxjhwo35LnSKr51ums8WCdZfxngcTPDtMU2rzY589,34.931872,8.732968,0.000005414786,17
5E9Pi2Rr7zRzGbREnmKULjrSTRwNGDF19VjzPHGDzQWznpp9,206.509008,51.627252,0.000032010944,100.5
